# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.07080973 2.15770020   9.30853468e-03  
0.07080973 2.21255306   1.03060244e-02  
0.07080973 2.26437450   8.86949800e-03  
0.07080973 2.31299239   6.64460148e-03  
0.07080973 2.35824522   4.54124529e-03  
0.07080973 2.39998267   2.91456187e-03  
0.07080973 2.43806609   1.79737745e-03  
0.07080973 2.47236897   1.08764420e-03  
0.07080973 2.50277737   6.59079049e-04  
0.07080973 2.52919027   4.07953258e-04  
0.07080973 2.55151994   2.62893206e-04  
0.07080973 2.56969223   1.79519713e-04  
0.07080973 2.58364683   1.31934930e-04  
0.07080973 2.59333765   1.05692239e-04  
0.07080973 2.59873467   9.31449853e-05  
0.09722263 0.00126533  -2.60265231e+00  
0.09722263 0.00666235  -2.60249671e+00  
0.09722263 0.01635317  -2.60158959e+00  
0.09722263 0.03030777  -2.59900542e+00  
0.09722263 0.04848006  -2.59330977e+00  
0.09722263 0.07080973  -2.58269312e+00  
0.09722263 0.09722263  -2.56491851e+00  
0.09722263 0.12763103  -2.52968362e+00  
0.09722263 0.16193391  -2.48199918e+00  
0.09722263 0.20001733  -2.42279463e+00  
0.09722263 0.24175478  -2.35369108e+00  
0.09722263 0.28700761  -2.27645828e+00  
0.09722263 0.33562550  -2.19266055e+00  
0.09722263 0.38744694  -2.10358679e+00  
0.09722263 0.44229980  -2.01031421e+00  
0.09722263 0.50000184  -1.91377676e+00  
0.09722263 0.56036140  -1.81480362e+00  
0.09722263 0.62317797  -1.71412287e+00  
0.09722263 0.68824286  -1.61235537e+00  
0.09722263 0.75533996  -1.51001165e+00  
0.09722263 0.82424636  -1.40749559e+00  
0.09722263 0.89473316  -1.30511582e+00  
0.09722263 0.96656622  -1.20310437e+00  
0.09722263 1.03950692  -1.10163920e+00  
0.09722263 1.11331294  -1.00086414e+00  
0.09722263 1.18773913  -9.00904799e-01  
0.09722263 1.26253823  -8.01889547e-01  
0.09722263 1.33746177  -7.03992095e-01  
0.09722263 1.41226087  -6.07509711e-01  
0.09722263 1.48668706  -5.12981067e-01  
0.09722263 1.56049308  -4.21330062e-01  
0.09722263 1.63343378  -3.33990732e-01  
0.09722263 1.70526684  -2.52928150e-01  
0.09722263 1.77575364  -1.80459464e-01  
0.09722263 1.84466004  -1.18844068e-01  
0.09722263 1.91175714  -6.97363554e-02  
0.09722263 1.97682203  -3.36944716e-02  
0.09722263 2.03963860  -9.94534644e-03  
0.09722263 2.09999816   3.48235653e-03  
0.09722263 2.15770020   9.29168389e-03  
0.09722263 2.21255306   1.02932856e-02  
0.09722263 2.26437450   8.86061742e-03  
0.09722263 2.31299239   6.63881086e-03  
0.09722263 2.35824522   4.53766610e-03  
0.09722263 2.39998267   2.91243473e-03  
0.09722263 2.43806609   1.79614292e-03  
0.09722263 2.47236897   1.08693266e-03  
0.09722263 2.50277737   6.58664485e-04  
0.09722263 2.52919027   4.07704634e-04  
0.09722263 2.55151994   2.62736959e-04  
0.09722263 2.56969223   1.79415072e-04  
0.09722263 2.58364683   1.31859124e-04  
0.09722263 2.59333765   1.05632100e-04  
0.09722263 2.59873467   9.30922682e-05  
0.12763103 0.00126533  -2.56260495e+00  
0.12763103 0.00666235  -2.56246922e+00  
0.12763103 0.01635317  -2.56166679e+00  
0.12763103 0.03030777  -2.55939000e+00  
0.12763103 0.04848006  -2.55438207e+00  
0.12763103 0.07080973  -2.54508714e+00  
0.12763103 0.09722263  -2.52968362e+00  
0.12763103 0.12763103  -2.50606514e+00  
0.12763103 0.16193391  -2.46189704e+00  
0.12763103 0.20001733  -2.40572870e+00  
0.12763103 0.24175478  -2.33927803e+00  
0.12763103 0.28700761  -2.26435006e+00  
0.12763103 0.33562550  -2.18254329e+00  
0.12763103 0.38744694  -2.09517674e+00  
0.12763103 0.44229980  -2.00335194e+00  
0.12763103 0.50000184  -1.90802538e+00  
