# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
1.77575364 2.21255306   2.69471843e-03  
1.77575364 2.26437450   2.72933118e-03  
1.77575364 2.31299239   2.22293291e-03  
1.77575364 2.35824522   1.60099587e-03  
1.77575364 2.39998267   1.06569494e-03  
1.77575364 2.43806609   6.75179910e-04  
1.77575364 2.47236897   4.17111047e-04  
1.77575364 2.50277737   2.56875624e-04  
1.77575364 2.52919027   1.61033627e-04  
1.77575364 2.55151994   1.04809729e-04  
1.77575364 2.56969223   7.21173895e-05  
1.77575364 2.58364683   5.32982221e-05  
1.77575364 2.59333765   4.28574736e-05  
1.77575364 2.59873467   3.78471310e-05  
1.84466004 0.00126533  -1.18869189e-01  
1.84466004 0.00666235  -1.18871937e-01  
1.84466004 0.01635317  -1.18866587e-01  
1.84466004 0.03030777  -1.18865950e-01  
1.84466004 0.04848006  -1.18862683e-01  
1.84466004 0.07080973  -1.18855753e-01  
1.84466004 0.09722263  -1.18844068e-01  
1.84466004 0.12763103  -1.18826061e-01  
1.84466004 0.16193391  -1.18799852e-01  
1.84466004 0.20001733  -1.18763131e-01  
1.84466004 0.24175478  -1.18712885e-01  
1.84466004 0.28700761  -1.18644912e-01  
1.84466004 0.33562550  -1.18554494e-01  
1.84466004 0.38744694  -1.18435149e-01  
1.84466004 0.44229980  -1.18277984e-01  
1.84466004 0.50000184  -1.18073353e-01  
1.84466004 0.56036140  -1.17810208e-01  
1.84466004 0.62317797  -1.17476344e-01  
1.84466004 0.68824286  -1.17058382e-01  
1.84466004 0.75533996  -1.16541186e-01  
1.84466004 0.82424636  -1.15906198e-01  
1.84466004 0.89473316  -1.15127989e-01  
1.84466004 0.96656622  -1.14168216e-01  
1.84466004 1.03950692  -1.12966329e-01  
1.84466004 1.11331294  -1.11426996e-01  
1.84466004 1.18773913  -1.09405742e-01  
1.84466004 1.26253823  -1.06697088e-01  
1.84466004 1.33746177  -1.03033784e-01  
1.84466004 1.41226087  -9.81105843e-02  
1.84466004 1.48668706  -9.16469085e-02  
1.84466004 1.56049308  -8.34909043e-02  
1.84466004 1.63343378  -7.37361869e-02  
1.84466004 1.70526684  -6.27869091e-02  
1.84466004 1.77575364  -5.13088868e-02  
1.84466004 1.84466004  -4.00378441e-02  
1.84466004 1.91175714  -2.60764083e-02  
1.84466004 1.97682203  -1.48569176e-02  
1.84466004 2.03963860  -6.76285095e-03  
1.84466004 2.09999816  -1.63141121e-03  
1.84466004 2.15770020   1.08342634e-03  
1.84466004 2.21255306   2.11005028e-03  
1.84466004 2.26437450   2.15468436e-03  
1.84466004 2.31299239   1.76261977e-03  
1.84466004 2.35824522   1.27323950e-03  
1.84466004 2.39998267   8.49402502e-04  
1.84466004 2.43806609   5.39078746e-04  
1.84466004 2.47236897   3.33493294e-04  
1.84466004 2.50277737   2.05610719e-04  
1.84466004 2.52919027   1.29012862e-04  
1.84466004 2.55151994   8.40295399e-05  
1.84466004 2.56969223   5.78514841e-05  
1.84466004 2.58364683   4.27728624e-05  
1.84466004 2.59333765   3.44036761e-05  
1.84466004 2.59873467   3.03863497e-05  
1.91175714 0.00126533  -6.97212783e-02  
1.91175714 0.00666235  -6.97235262e-02  
1.91175714 0.01635317  -6.97201301e-02  
1.91175714 0.03030777  -6.97220825e-02  
1.91175714 0.04848006  -6.97248301e-02  
1.91175714 0.07080973  -6.97292108e-02  
1.91175714 0.09722263  -6.97363554e-02  
1.91175714 0.12763103  -6.97472722e-02  
1.91175714 0.16193391  -6.97629385e-02  
1.91175714 0.20001733  -6.97841795e-02  
1.91175714 0.24175478  -6.98114430e-02  
1.91175714 0.28700761  -6.98444119e-02  
1.91175714 0.33562550  -6.98824979e-02  
1.91175714 0.38744694  -6.99238158e-02  
1.91175714 0.44229980  -6.99645736e-02  
1.91175714 0.50000184  -7.00002088e-02  
1.91175714 0.56036140  -7.00247375e-02  
1.91175714 0.62317797  -7.00308403e-02  
1.91175714 0.68824286  -7.00098485e-02  
1.91175714 0.75533996  -6.99514341e-02  
1.91175714 0.82424636  -6.98426295e-02  
1.91175714 0.89473316  -6.96657086e-02  
1.91175714 0.96656622  -6.93944422e-02  
1.91175714 1.03950692  -6.89883116e-02  
1.91175714 1.11331294  -6.83845671e-02  
1.91175714 1.18773913  -6.74888631e-02  
1.91175714 1.26253823  -6.61669989e-02  
1.91175714 1.33746177  -6.42432241e-02  
1.91175714 1.41226087  -6.15139627e-02  
1.91175714 1.48668706  -5.77867570e-02  
1.91175714 1.56049308  -5.29470146e-02  
1.91175714 1.63343378  -4.70352624e-02  
1.91175714 1.70526684  -4.02938426e-02  
1.91175714 1.77575364  -3.31417164e-02  
1.91175714 1.84466004  -2.60764083e-02  
1.91175714 1.91175714  -1.95362920e-02  
1.91175714 1.97682203  -1.12257649e-02  
1.91175714 2.03963860  -5.15108210e-03  
1.91175714 2.09999816  -1.26676459e-03  
1.91175714 2.15770020   8.05408079e-04  
1.91175714 2.21255306   1.59885431e-03  
1.91175714 2.26437450   1.64199323e-03  
1.91175714 2.31299239   1.34793823e-03  
1.91175714 2.35824522   9.76218553e-04  
1.91175714 2.39998267   6.52588578e-04  
1.91175714 2.43806609   4.14858986e-04  
1.91175714 2.47236897   2.56997618e-04  
1.91175714 2.50277737   1.58626721e-04  
1.91175714 2.52919027   9.96237736e-05  
1.91175714 2.55151994   6.49356709e-05  
1.91175714 2.56969223   4.47318932e-05  
1.91175714 2.58364683   3.30870767e-05  
1.91175714 2.59333765   2.66208675e-05  
1.91175714 2.59873467   2.35161272e-05  
1.97682203 0.00126533  -3.36574162e-02  
1.97682203 0.00666235  -3.36591690e-02  
1.97682203 0.01635317  -3.36572061e-02  
1.97682203 0.03030777  -3.36604899e-02  
1.97682203 0.04848006  -3.36664827e-02  
1.97682203 0.07080973  -3.36770350e-02  
1.97682203 0.09722263  -3.36944716e-02  
1.97682203 0.12763103  -3.37212165e-02  
1.97682203 0.16193391  -3.37598364e-02  
1.97682203 0.20001733  -3.38129272e-02  
1.97682203 0.24175478  -3.38829311e-02  
1.97682203 0.28700761  -3.39718328e-02  
1.97682203 0.33562550  -3.40814939e-02  
1.97682203 0.38744694  -3.42128427e-02  
1.97682203 0.44229980  -3.43653470e-02  
1.97682203 0.50000184  -3.45377576e-02  
1.97682203 0.56036140  -3.47275190e-02  
1.97682203 0.62317797  -3.49307396e-02  
1.97682203 0.68824286  -3.51421488e-02  
1.97682203 0.75533996  -3.53549443e-02  
1.97682203 0.82424636  -3.55603115e-02  
1.97682203 0.89473316  -3.57463339e-02  
1.97682203 0.96656622  -3.58960103e-02  
1.97682203 1.03950692  -3.59841349e-02  
1.97682203 1.11331294  -3.59729256e-02  
1.97682203 1.18773913  -3.58066865e-02  
1.97682203 1.26253823  -3.54067812e-02  
1.97682203 1.33746177  -3.46699239e-02  
1.97682203 1.41226087  -3.34749209e-02  
1.97682203 1.48668706  -3.17038091e-02  
1.97682203 1.56049308  -2.92795303e-02  
1.97682203 1.63343378  -2.62110634e-02  
1.97682203 1.70526684  -2.26228988e-02  
1.97682203 1.77575364  -1.87444051e-02  
1.97682203 1.84466004  -1.48569176e-02  
1.97682203 1.91175714  -1.12257649e-02  
1.97682203 1.97682203  -8.04325456e-03  
1.97682203 2.03963860  -3.71370935e-03  
1.97682203 2.09999816  -9.12665285e-04  
1.97682203 2.15770020   5.93338774e-04  
1.97682203 2.21255306   1.17472007e-03  
1.97682203 2.26437450   1.20864314e-03  
1.97682203 2.31299239   9.94285076e-04  
1.97682203 2.35824522   7.21503755e-04  
1.97682203 2.39998267   4.83153386e-04  
1.97682203 2.43806609   3.07610215e-04  
1.97682203 2.47236897   1.90805167e-04  
1.97682203 2.50277737   1.17899400e-04  
1.97682203 2.52919027   7.41127767e-05  
1.97682203 2.55151994   4.83431836e-05  
1.97682203 2.56969223   3.33214003e-05  
1.97682203 2.58364683   2.46578268e-05  
1.97682203 2.59333765   1.98448825e-05  
1.97682203 2.59873467   1.75333004e-05  
2.03963860 0.00126533  -9.90057283e-03  
2.03963860 0.00666235  -9.90187096e-03  
2.03963860 0.01635317  -9.90087818e-03  
2.03963860 0.03030777  -9.90452009e-03  
2.03963860 0.04848006  -9.91159708e-03  
2.03963860 0.07080973  -9.92430029e-03  
2.03963860 0.09722263  -9.94534644e-03  
2.03963860 0.12763103  -9.97766321e-03  
2.03963860 0.16193391  -1.00244057e-02  
2.03963860 0.20001733  -1.00888594e-02  
2.03963860 0.24175478  -1.01742948e-02  
2.03963860 0.28700761  -1.02837314e-02  
2.03963860 0.33562550  -1.04201422e-02  
2.03963860 0.38744694  -1.05858377e-02  
2.03963860 0.44229980  -1.07820433e-02  
2.03963860 0.50000184  -1.10093680e-02  
2.03963860 0.56036140  -1.12673232e-02  
2.03963860 0.62317797  -1.15542317e-02  
2.03963860 0.68824286  -1.18671459e-02  
2.03963860 0.75533996  -1.22017656e-02  
2.03963860 0.82424636  -1.25522755e-02  
2.03963860 0.89473316  -1.29109715e-02  
2.03963860 0.96656622  -1.32675182e-02  
2.03963860 1.03950692  -1.36076822e-02  
2.03963860 1.11331294  -1.39114386e-02  
2.03963860 1.18773913  -1.41505195e-02  
2.03963860 1.26253823  -1.42858971e-02  
2.03963860 1.33746177  -1.42664989e-02  
2.03963860 1.41226087  -1.40315446e-02  
2.03963860 1.48668706  -1.35195134e-02  
2.03963860 1.56049308  -1.26852751e-02  
2.03963860 1.63343378  -1.15218174e-02  
2.03963860 1.70526684  -1.00760872e-02  
2.03963860 1.77575364  -8.44693973e-03  
2.03963860 1.84466004  -6.76285095e-03  
2.03963860 1.91175714  -5.15108210e-03  
2.03963860 1.97682203  -3.71370935e-03  
2.03963860 2.03963860  -2.51418406e-03  
2.03963860 2.09999816  -6.00351607e-04  
2.03963860 2.15770020   4.37275256e-04  
2.03963860 2.21255306   8.38610522e-04  
2.03963860 2.26437450   8.59755203e-04  
2.03963860 2.31299239   7.07303022e-04  
2.03963860 2.35824522   5.13754772e-04  
2.03963860 2.39998267   3.44452800e-04  
2.03963860 2.43806609   2.19570297e-04  
2.03963860 2.47236897   1.36348765e-04  
2.03963860 2.50277737   8.43344413e-05  
2.03963860 2.52919027   5.30587785e-05  
2.03963860 2.55151994   3.46344024e-05  
2.03963860 2.56969223   2.38859434e-05  
2.03963860 2.58364683   1.76831899e-05  
2.03963860 2.59333765   1.42358195e-05  
2.03963860 2.59873467   1.25796462e-05  
2.09999816 0.00126533   3.52526516e-03  
2.09999816 0.00666235   3.52435393e-03  
2.09999816 0.01635317   3.52475079e-03  
2.09999816 0.03030777   3.52139039e-03  
2.09999816 0.04848006   3.51467351e-03  
2.09999816 0.07080973   3.50251836e-03  
2.09999816 0.09722263   3.48235653e-03  
2.09999816 0.12763103   3.45137940e-03  
2.09999816 0.16193391   3.40653581e-03  
2.09999816 0.20001733   3.34460923e-03  
2.09999816 0.24175478   3.26232736e-03  
2.09999816 0.28700761   3.15653855e-03  
2.09999816 0.33562550   3.02409966e-03  
2.09999816 0.38744694   2.86232321e-03  
2.09999816 0.44229980   2.66929659e-03  
2.09999816 0.50000184   2.44360391e-03  
2.09999816 0.56036140   2.18469136e-03  
2.09999816 0.62317797   1.89297680e-03  
2.09999816 0.68824286   1.56994561e-03  
2.09999816 0.75533996   1.21819859e-03  
2.09999816 0.82424636   8.41440751e-04  
2.09999816 0.89473316   4.44438087e-04  
2.09999816 0.96656622   3.30132338e-05  
2.09999816 1.03950692  -3.85821069e-04  
2.09999816 1.11331294  -8.03502681e-04  
2.09999816 1.18773913  -1.20929319e-03  
2.09999816 1.26253823  -1.58943914e-03  
2.09999816 1.33746177  -1.92638774e-03  
2.09999816 1.41226087  -2.19869768e-03  
2.09999816 1.48668706  -2.38268126e-03  
2.09999816 1.56049308  -2.45671620e-03  
2.09999816 1.63343378  -2.40791636e-03  
2.09999816 1.70526684  -2.23858571e-03  
2.09999816 1.77575364  -1.96855439e-03  
2.09999816 1.84466004  -1.63141121e-03  
2.09999816 1.91175714  -1.26676459e-03  
2.09999816 1.97682203  -9.12665285e-04  
2.09999816 2.03963860  -6.00351607e-04  
2.09999816 2.09999816  -3.50040225e-04  
2.09999816 2.15770020   3.23505410e-04  
2.09999816 2.21255306   5.82453573e-04  
2.09999816 2.26437450   5.91039775e-04  
2.09999816 2.31299239   4.84940559e-04  
2.09999816 2.35824522   3.52102656e-04  
2.09999816 2.39998267   2.36177529e-04  
2.09999816 2.43806609   1.50665070e-04  
2.09999816 2.47236897   9.36387569e-05  
2.09999816 2.50277737   5.79646964e-05  
2.09999816 2.52919027   3.64952278e-05  
2.09999816 2.55151994   2.38375619e-05  
2.09999816 2.56969223   1.64483277e-05  
2.09999816 2.58364683   1.21818396e-05  
2.09999816 2.59333765   9.80967362e-06  
2.09999816 2.59873467   8.66976061e-06  
2.15770020 0.00126533   9.32755475e-03  
2.15770020 0.00666235   9.32694887e-03  
2.15770020 0.01635317   9.32702380e-03  
2.15770020 0.03030777   9.32427362e-03  
2.15770020 0.04848006   9.31868773e-03  
2.15770020 0.07080973   9.30853468e-03  
2.15770020 0.09722263   9.29168389e-03  
2.15770020 0.12763103   9.26578734e-03  
2.15770020 0.16193391   9.22828415e-03  
2.15770020 0.20001733   9.17645760e-03  
2.15770020 0.24175478   9.10751286e-03  
2.15770020 0.28700761   9.01870001e-03  
2.15770020 0.33562550   8.90725798e-03  
2.15770020 0.38744694   8.77072183e-03  
2.15770020 0.44229980   8.60715269e-03  
2.15770020 0.50000184   8.41498937e-03  
2.15770020 0.56036140   8.19331370e-03  
2.15770020 0.62317797   7.94195301e-03  
2.15770020 0.68824286   7.66156425e-03  
2.15770020 0.75533996   7.35365437e-03  
2.15770020 0.82424636   7.02049155e-03  
2.15770020 0.89473316   6.66488004e-03  
2.15770020 0.96656622   6.28980824e-03  
2.15770020 1.03950692   5.89801736e-03  
2.15770020 1.11331294   5.49156137e-03  
2.15770020 1.18773913   5.07145572e-03  
2.15770020 1.26253823   4.63757355e-03  
2.15770020 1.33746177   4.18903549e-03  
2.15770020 1.41226087   3.72536583e-03  
2.15770020 1.48668706   3.24849399e-03  
2.15770020 1.56049308   2.76513868e-03  
2.15770020 1.63343378   2.28833536e-03  
2.15770020 1.70526684   1.83652577e-03  
2.15770020 1.77575364   1.42961007e-03  
2.15770020 1.84466004   1.08342634e-03  
2.15770020 1.91175714   8.05408079e-04  
2.15770020 1.97682203   5.93338774e-04  
2.15770020 2.03963860   4.37275255e-04  
2.15770020 2.09999816   3.23505410e-04  
2.15770020 2.15770020   2.39082001e-04  
2.15770020 2.21255306   3.93646621e-04  
2.15770020 2.26437450   3.92558425e-04  
2.15770020 2.31299239   3.20227355e-04  
2.15770020 2.35824522   2.32031572e-04  
2.15770020 2.39998267   1.55555946e-04  
2.15770020 2.43806609   9.92487250e-05  
2.15770020 2.47236897   6.17107067e-05  
2.15770020 2.50277737   3.82214371e-05  
2.15770020 2.52919027   2.40780370e-05  
2.15770020 2.55151994   1.57350485e-05  
2.15770020 2.56969223   1.08621597e-05  
2.15770020 2.58364683   8.04739676e-06  
2.15770020 2.59333765   6.48188544e-06  
2.15770020 2.59873467   5.72944243e-06  
2.21255306 0.00126533   1.03204088e-02  
2.21255306 0.00666235   1.03200269e-02  
2.21255306 0.01635317   1.03199597e-02  
2.21255306 0.03030777   1.03179080e-02  
2.21255306 0.04848006   1.03136977e-02  
2.21255306 0.07080973   1.03060244e-02  
2.21255306 0.09722263   1.02932856e-02  
2.21255306 0.12763103   1.02737077e-02  
2.21255306 0.16193391   1.02453526e-02  
2.21255306 0.20001733   1.02061576e-02  
2.21255306 0.24175478   1.01539867e-02  
2.21255306 0.28700761   1.00867106e-02  
2.21255306 0.33562550   1.00021808e-02  
2.21255306 0.38744694   9.89842864e-03  
2.21255306 0.44229980   9.77382344e-03  
2.21255306 0.50000184   9.62700532e-03  
2.21255306 0.56036140   9.45707118e-03  
2.21255306 0.62317797   9.26365864e-03  
2.21255306 0.68824286   9.04700735e-03  
2.21255306 0.75533996   8.80795834e-03  
2.21255306 0.82424636   8.54784481e-03  
2.21255306 0.89473316   8.26823078e-03  
2.21255306 0.96656622   7.97047224e-03  
2.21255306 1.03950692   7.65510842e-03  
2.21255306 1.11331294   7.32113212e-03  
2.21255306 1.18773913   6.96525314e-03  
2.21255306 1.26253823   6.58138819e-03  
2.21255306 1.33746177   6.16080088e-03  
2.21255306 1.41226087   5.69350673e-03  
2.21255306 1.48668706   5.17149956e-03  
2.21255306 1.56049308   4.59364838e-03  
2.21255306 1.63343378   3.97057884e-03  
2.21255306 1.70526684   3.32639325e-03  
2.21255306 1.77575364   2.69471843e-03  
2.21255306 1.84466004   2.11005028e-03  
2.21255306 1.91175714   1.59885431e-03  
2.21255306 1.97682203   1.17472007e-03  
2.21255306 2.03963860   8.38610522e-04  
2.21255306 2.09999816   5.82453573e-04  
2.21255306 2.15770020   3.93646621e-04  
2.21255306 2.21255306   2.58720928e-04  
2.21255306 2.26437450   2.51899646e-04  
2.21255306 2.31299239   2.03652967e-04  
2.21255306 2.35824522   1.46996659e-04  
2.21255306 2.39998267   9.83865235e-05  
2.21255306 2.43806609   6.27371168e-05  
2.21255306 2.47236897   3.90068599e-05  
2.21255306 2.50277737   2.41646070e-05  
2.21255306 2.52919027   1.52276420e-05  
2.21255306 2.55151994   9.95470448e-06  
2.21255306 2.56969223   6.87406612e-06  
2.21255306 2.58364683   5.09408515e-06  
2.21255306 2.59333765   4.10387534e-06  
2.21255306 2.59873467   3.62787149e-06  
2.26437450 0.00126533   8.87952911e-03  
2.26437450 0.00666235   8.87930022e-03  
2.26437450 0.01635317   8.87919344e-03  
2.26437450 0.03030777   8.87777599e-03  
2.26437450 0.04848006   8.87484652e-03  
2.26437450 0.07080973   8.86949800e-03  
2.26437450 0.09722263   8.86061742e-03  
2.26437450 0.12763103   8.84696956e-03  
2.26437450 0.16193391   8.82720349e-03  
2.26437450 0.20001733   8.79987875e-03  
2.26437450 0.24175478   8.76349753e-03  
2.26437450 0.28700761   8.71655353e-03  
2.26437450 0.33562550   8.65752100e-03  
2.26437450 0.38744694   8.58497766e-03  
2.26437450 0.44229980   8.49770748e-03  
2.26437450 0.50000184   8.39467731e-03  
2.26437450 0.56036140   8.27516167e-03  
2.26437450 0.62317797   8.13880536e-03  
2.26437450 0.68824286   7.98566408e-03  
2.26437450 0.75533996   7.81619329e-03  
2.26437450 0.82424636   7.63114897e-03  
2.26437450 0.89473316   7.43135953e-03  
2.26437450 0.96656622   7.21733287e-03  
2.26437450 1.03950692   6.98868533e-03  
2.26437450 1.11331294   6.74342131e-03  
2.26437450 1.18773913   6.47716552e-03  
2.26437450 1.26253823   6.18257312e-03  
2.26437450 1.33746177   5.84933736e-03  
2.26437450 1.41226087   5.46543382e-03  
2.26437450 1.48668706   5.02024909e-03  
2.26437450 1.56049308   4.50960369e-03  
2.26437450 1.63343378   3.94111703e-03  
2.26437450 1.70526684   3.33670068e-03  
2.26437450 1.77575364   2.72933118e-03  
2.26437450 1.84466004   2.15468436e-03  
2.26437450 1.91175714   1.64199323e-03  
2.26437450 1.97682203   1.20864314e-03  
2.26437450 2.03963860   8.59755203e-04  
2.26437450 2.09999816   5.91039775e-04  
2.26437450 2.15770020   3.92558425e-04  
2.26437450 2.21255306   2.51899646e-04  
2.26437450 2.26437450   1.56334913e-04  
2.26437450 2.31299239   1.24909737e-04  
2.26437450 2.35824522   8.96584805e-05  
2.26437450 2.39998267   5.98437226e-05  
2.26437450 2.43806609   3.81088357e-05  
2.26437450 2.47236897   2.36804983e-05  
2.26437450 2.50277737   1.46675208e-05  
2.26437450 2.52919027   9.24335683e-06  
2.26437450 2.55151994   6.04349966e-06  
2.26437450 2.56969223   4.17397551e-06  
2.26437450 2.58364683   3.09366478e-06  
2.26437450 2.59333765   2.49261906e-06  
2.26437450 2.59873467   2.20366648e-06  
2.31299239 0.00126533   6.65114377e-03  
2.31299239 0.00666235   6.65101262e-03  
2.31299239 0.01635317   6.65091446e-03  
2.31299239 0.03030777   6.64999622e-03  
2.31299239 0.04848006   6.64808863e-03  
2.31299239 0.07080973   6.64460147e-03  
2.31299239 0.09722263   6.63881086e-03  
2.31299239 0.12763103   6.62991186e-03  
2.31299239 0.16193391   6.61702356e-03  
2.31299239 0.20001733   6.59920537e-03  
2.31299239 0.24175478   6.57547646e-03  
2.31299239 0.28700761   6.54484440e-03  
2.31299239 0.33562550   6.50630161e-03  
2.31299239 0.38744694   6.45889778e-03  
2.31299239 0.44229980   6.40180346e-03  
2.31299239 0.50000184   6.33430599e-03  
2.31299239 0.56036140   6.25588879e-03  
2.31299239 0.62317797   6.16627475e-03  
2.31299239 0.68824286   6.06545217e-03  
2.31299239 0.75533996   5.95366224e-03  
2.31299239 0.82424636   5.83132202e-03  
2.31299239 0.89473316   5.69885131e-03  
2.31299239 0.96656622   5.55637139e-03  
2.31299239 1.03950692   5.40325728e-03  
2.31299239 1.11331294   5.23755838e-03  
2.31299239 1.18773913   5.05536386e-03  
2.31299239 1.26253823   4.85029178e-03  
2.31299239 1.33746177   4.61344156e-03  
2.31299239 1.41226087   4.33433620e-03  
2.31299239 1.48668706   4.00341228e-03  
2.31299239 1.56049308   3.61612569e-03  
2.31299239 1.63343378   3.17747038e-03  
2.31299239 1.70526684   2.70428773e-03  
2.31299239 1.77575364   2.22293291e-03  
2.31299239 1.84466004   1.76261977e-03  
2.31299239 1.91175714   1.34793823e-03  
2.31299239 1.97682203   9.94285076e-04  
2.31299239 2.03963860   7.07303022e-04  
2.31299239 2.09999816   4.84940559e-04  
2.31299239 2.15770020   3.20227355e-04  
2.31299239 2.21255306   2.03652967e-04  
2.31299239 2.26437450   1.24909737e-04  
2.31299239 2.31299239   7.41501245e-05  
2.31299239 2.35824522   5.28484970e-05  
2.31299239 2.39998267   3.51405749e-05  
2.31299239 2.43806609   2.23312626e-05  
2.31299239 2.47236897   1.38610089e-05  
2.31299239 2.50277737   8.58060097e-06  
2.31299239 2.52919027   5.40611783e-06  
2.31299239 2.55151994   3.53439654e-06  
2.31299239 2.56969223   2.44110216e-06  
2.31299239 2.58364683   1.80939486e-06  
2.31299239 2.59333765   1.45794209e-06  
2.31299239 2.59873467   1.28898005e-06  
2.35824522 0.00126533   4.54528952e-03  
2.35824522 0.00666235   4.54521717e-03  
2.35824522 0.01635317   4.54514315e-03  
2.35824522 0.03030777   4.54457835e-03  
2.35824522 0.04848006   4.54340048e-03  
2.35824522 0.07080973   4.54124529e-03  
2.35824522 0.09722263   4.53766610e-03  
2.35824522 0.12763103   4.53216537e-03  
2.35824522 0.16193391   4.52419820e-03  
2.35824522 0.20001733   4.51318207e-03  
2.35824522 0.24175478   4.49850816e-03  
2.35824522 0.28700761   4.47955788e-03  
2.35824522 0.33562550   4.45570249e-03  
2.35824522 0.38744694   4.42634448e-03  
2.35824522 0.44229980   4.39095511e-03  
2.35824522 0.50000184   4.34907674e-03  
2.35824522 0.56036140   4.30037067e-03  
2.35824522 0.62317797   4.24464535e-03  
2.35824522 0.68824286   4.18187275e-03  
2.35824522 0.75533996   4.11217878e-03  
2.35824522 0.82424636   4.03578944e-03  
2.35824522 0.89473316   3.95291058e-03  
2.35824522 0.96656622   3.86351790e-03  
2.35824522 1.03950692   3.76704188e-03  
2.35824522 1.11331294   3.66195443e-03  
2.35824522 1.18773913   3.54530813e-03  
2.35824522 1.26253823   3.41235391e-03  
2.35824522 1.33746177   3.25648128e-03  
2.35824522 1.41226087   3.06986429e-03  
2.35824522 1.48668706   2.84522820e-03  
2.35824522 1.56049308   2.57881025e-03  
2.35824522 1.63343378   2.27367488e-03  
2.35824522 1.70526684   1.94149440e-03  
2.35824522 1.77575364   1.60099587e-03  
2.35824522 1.84466004   1.27323950e-03  
2.35824522 1.91175714   9.76218553e-04  
2.35824522 1.97682203   7.21503755e-04  
2.35824522 2.03963860   5.13754772e-04  
2.35824522 2.09999816   3.52102656e-04  
2.35824522 2.15770020   2.32031572e-04  
2.35824522 2.21255306   1.46996659e-04  
2.35824522 2.26437450   8.96584805e-05  
2.35824522 2.31299239   5.28484970e-05  
2.35824522 2.35824522   3.02958922e-05  
2.35824522 2.39998267   2.00507461e-05  
2.35824522 2.43806609   1.27072208e-05  
2.35824522 2.47236897   7.87472589e-06  
2.35824522 2.50277737   4.87028067e-06  
2.35824522 2.52919027   3.06686521e-06  
2.35824522 2.55151994   2.00449051e-06  
2.35824522 2.56969223   1.38425662e-06  
2.35824522 2.58364683   1.02598319e-06  
2.35824522 2.59333765   8.26685099e-07  
2.35824522 2.59873467   7.30878495e-07  
2.39998267 0.00126533   2.91696557e-03  
2.39998267 0.00666235   2.91692654e-03  
2.39998267 0.01635317   2.91687637e-03  
2.39998267 0.03030777   2.91654200e-03  
2.39998267 0.04848006   2.91584256e-03  
2.39998267 0.07080973   2.91456187e-03  
2.39998267 0.09722263   2.91243473e-03  
2.39998267 0.12763103   2.90916532e-03  
2.39998267 0.16193391   2.90442939e-03  
2.39998267 0.20001733   2.89787985e-03  
2.39998267 0.24175478   2.88915333e-03  
2.39998267 0.28700761   2.87787950e-03  
2.39998267 0.33562550   2.86368193e-03  
2.39998267 0.38744694   2.84620110e-03  
2.39998267 0.44229980   2.82511593e-03  
2.39998267 0.50000184   2.80014717e-03  
2.39998267 0.56036140   2.77108506e-03  
2.39998267 0.62317797   2.73780677e-03  
2.39998267 0.68824286   2.70028669e-03  
2.39998267 0.75533996   2.65859021e-03  
2.39998267 0.82424636   2.61283874e-03  
2.39998267 0.89473316   2.56313127e-03  
2.39998267 0.96656622   2.50940705e-03  
2.39998267 1.03950692   2.45123902e-03  
2.39998267 1.11331294   2.38756088e-03  
2.39998267 1.18773913   2.31635898e-03  
2.39998267 1.26253823   2.23441094e-03  
2.39998267 1.33746177   2.13723321e-03  
2.39998267 1.41226087   2.01949526e-03  
2.39998267 1.48668706   1.87618281e-03  
2.39998267 1.56049308   1.70456977e-03  
2.39998267 1.63343378   1.50645126e-03  
2.39998267 1.70526684   1.28938096e-03  
2.39998267 1.77575364   1.06569494e-03  
2.39998267 1.84466004   8.49402502e-04  
2.39998267 1.91175714   6.52588578e-04  
2.39998267 1.97682203   4.83153386e-04  
2.39998267 2.03963860   3.44452800e-04  
2.39998267 2.09999816   2.36177529e-04  
2.39998267 2.15770020   1.55555946e-04  
2.39998267 2.21255306   9.83865235e-05  
2.39998267 2.26437450   5.98437226e-05  
2.39998267 2.31299239   3.51405749e-05  
2.39998267 2.35824522   2.00507461e-05  
2.39998267 2.39998267   1.12187735e-05  
2.39998267 2.43806609   7.08688329e-06  
2.39998267 2.47236897   4.38295055e-06  
2.39998267 2.50277737   2.70732985e-06  
2.39998267 2.52919027   1.70351467e-06  
2.39998267 2.55151994   1.11288707e-06  
2.39998267 2.56969223   7.68321245e-07  
2.39998267 2.58364683   5.69373863e-07  
2.39998267 2.59333765   4.58733513e-07  
2.39998267 2.59873467   4.05553888e-07  
2.43806609 0.00126533   1.79877220e-03  
2.43806609 0.00666235   1.79875179e-03  
2.43806609 0.01635317   1.79871980e-03  
2.43806609 0.03030777   1.79852631e-03  
2.43806609 0.04848006   1.79812064e-03  
2.43806609 0.07080973   1.79737745e-03  
2.43806609 0.09722263   1.79614292e-03  
2.43806609 0.12763103   1.79424525e-03  
2.43806609 0.16193391   1.79149598e-03  
2.43806609 0.20001733   1.78769315e-03  
2.43806609 0.24175478   1.78262500e-03  
2.43806609 0.28700761   1.77607528e-03  
2.43806609 0.33562550   1.76782420e-03  
2.43806609 0.38744694   1.75766123e-03  
2.43806609 0.44229980   1.74539708e-03  
2.43806609 0.50000184   1.73086664e-03  
2.43806609 0.56036140   1.71394453e-03  
